1		0		2
2		0		2
3		0		1
4		0		4
5		1		1
6		1		7
7		2		3
8		2		8
9		4		2
10		4		4
11		6		10
12		7		3
13		8		5
14		9		1
15		10		4
16		10		1
17		10		5
18		10		7
19		10		3
20		11		9
21		13		14
22		14		11
23		15		3
24		16		3
25		17		1
26		17		5
27		17		4
28		19		6
29		21		1
30		22		3
31		22		6
32		22		1
33		24		2
34		24		2
35		24		4
36		25		1
37		25		2
38		26		1
39		27		5
40		27		1
41		28		7
42		28		1
43		28		2
44		29		1
45		30		8
46		31		1
47		32		4
48		33		1
49		33		1
50		35		2
